Name,Label,Concept,Required,Attributes,Limit,Predicate Type,Group
DP02_0012PE,Percent!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone!!65 years and over,,not required,"DP02_0012PM, DP02_0012PMA, DP02_0012PEA",0,float,DP02
DP02_0013E,Estimate!!HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years,,not required,"DP02_0013M, DP02_0013MA, DP02_0013EA",0,int,DP02
DP02_0013PE,Percent!!HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years,,not required,"DP02_0013PM, DP02_0013PMA, DP02_0013PEA",0,float,DP02
DP02_0014E,Estimate!!HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over,,not required,"DP02_0014M, DP02_0014MA, DP02_0014EA",0,int,DP02
DP02_0014PE,Percent!!HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over,,not required,"DP02_0014PM, DP02_0014PMA, DP02_0014PEA",0,float,DP02
DP02_0015E,Estimate!!HOUSEHOLDS BY TYPE!!Average household size,,not required,"DP02_0015M, DP02_0015MA, DP02_0015EA",0,float,DP02
DP02_0015PE,Percent!!HOUSEHOLDS BY TYPE!!Average household size,,not required,"DP02_0015PM, DP02_0015PMA, DP02_0015PEA",0,int,DP02
DP02_0016E,Estimate!!HOUSEHOLDS BY TYPE!!Average family size,,not required,"DP02_0016M, DP02_0016MA, DP02_0016EA",0,float,DP02
DP02_0016PE,Percent!!HOUSEHOLDS BY TYPE!!Average family size,,not required,"DP02_0016PM, DP02_0016PMA, DP02_0016PEA",0,int,DP02
DP02_0017E,Estimate!!RELATIONSHIP!!Population in households,,not required,"DP02_0017M, DP02_0017MA, DP02_0017EA",0,int,DP02
DP02_0017PE,Percent!!RELATIONSHIP!!Population in households,,not required,"DP02_0017PM, DP02_0017PMA, DP02_0017PEA",0,int,DP02
DP02_0018E,Estimate!!RELATIONSHIP!!Householder,,not required,"DP02_0018M, DP02_0018MA, DP02_0018EA",0,int,DP02
DP02_0018PE,Percent!!RELATIONSHIP!!Householder,,not required,"DP02_0018PM, DP02_0018PMA, DP02_0018PEA",0,float,DP02
DP02_0019E,Estimate!!RELATIONSHIP!!Spouse,,not required,"DP02_0019M, DP02_0019MA, DP02_0019EA",0,int,DP02
DP02_0019PE,Percent!!RELATIONSHIP!!Spouse,,not required,"DP02_0019PM, DP02_0019PMA, DP02_0019PEA",0,float,DP02
DP02_0020E,Estimate!!RELATIONSHIP!!Child,,not required,"DP02_0020M, DP02_0020MA, DP02_0020EA",0,int,DP02
DP02_0020PE,Percent!!RELATIONSHIP!!Child,,not required,"DP02_0020PM, DP02_0020PMA, DP02_0020PEA",0,float,DP02
DP02_0021E,Estimate!!RELATIONSHIP!!Other relatives,,not required,"DP02_0021M, DP02_0021MA, DP02_0021EA",0,int,DP02
DP02_0021PE,Percent!!RELATIONSHIP!!Other relatives,,not required,"DP02_0021PM, DP02_0021PMA, DP02_0021PEA",0,float,DP02
DP02_0022E,Estimate!!RELATIONSHIP!!Nonrelatives,,not required,"DP02_0022M, DP02_0022MA, DP02_0022EA",0,int,DP02
DP02_0022PE,Percent!!RELATIONSHIP!!Nonrelatives,,not required,"DP02_0022PM, DP02_0022PMA, DP02_0022PEA",0,float,DP02
DP02_0023E,Estimate!!RELATIONSHIP!!Nonrelatives!!Unmarried partner,,not required,"DP02_0023M, DP02_0023MA, DP02_0023EA",0,int,DP02
DP02_0023PE,Percent!!RELATIONSHIP!!Nonrelatives!!Unmarried partner,,not required,"DP02_0023PM, DP02_0023PMA, DP02_0023PEA",0,float,DP02
DP02_0024E,Estimate!!MARITAL STATUS!!Males 15 years and over,,not required,"DP02_0024M, DP02_0024MA, DP02_0024EA",0,int,DP02
DP02_0024PE,Percent!!MARITAL STATUS!!Males 15 years and over,,not required,"DP02_0024PM, DP02_0024PMA, DP02_0024PEA",0,int,DP02
DP02_0025E,Estimate!!MARITAL STATUS!!Never married,,not required,"DP02_0025M, DP02_0025MA, DP02_0025EA",0,int,DP02
DP02_0025PE,Percent!!MARITAL STATUS!!Never married,,not required,"DP02_0025PM, DP02_0025PMA, DP02_0025PEA",0,float,DP02
DP02_0026E,"Estimate!!MARITAL STATUS!!Now married, except separated",,not required,"DP02_0026M, DP02_0026MA, DP02_0026EA",0,int,DP02
DP02_0026PE,"Percent!!MARITAL STATUS!!Now married, except separated",,not required,"DP02_0026PM, DP02_0026PMA, DP02_0026PEA",0,float,DP02
DP02_0027E,Estimate!!MARITAL STATUS!!Separated,,not required,"DP02_0027M, DP02_0027MA, DP02_0027EA",0,int,DP02
DP02_0027PE,Percent!!MARITAL STATUS!!Separated,,not required,"DP02_0027PM, DP02_0027PMA, DP02_0027PEA",0,float,DP02
DP02_0028E,Estimate!!MARITAL STATUS!!Widowed,,not required,"DP02_0028M, DP02_0028MA, DP02_0028EA",0,int,DP02
DP02_0028PE,Percent!!MARITAL STATUS!!Widowed,,not required,"DP02_0028PM, DP02_0028PMA, DP02_0028PEA",0,float,DP02
DP02_0029E,Estimate!!MARITAL STATUS!!Divorced,,not required,"DP02_0029M, DP02_0029MA, DP02_0029EA",0,int,DP02
DP02_0029PE,Percent!!MARITAL STATUS!!Divorced,,not required,"DP02_0029PM, DP02_0029PMA, DP02_0029PEA",0,float,DP02
DP02_0030E,Estimate!!MARITAL STATUS!!Females 15 years and over,,not required,"DP02_0030M, DP02_0030MA, DP02_0030EA",0,int,DP02
DP02_0030PE,Percent!!MARITAL STATUS!!Females 15 years and over,,not required,"DP02_0030PM, DP02_0030PMA, DP02_0030PEA",0,int,DP02
DP02_0031E,Estimate!!MARITAL STATUS!!Never married,,not required,"DP02_0031M, DP02_0031MA, DP02_0031EA",0,int,DP02
DP02_0031PE,Percent!!MARITAL STATUS!!Never married,,not required,"DP02_0031PM, DP02_0031PMA, DP02_0031PEA",0,float,DP02
DP02_0032E,"Estimate!!MARITAL STATUS!!Now married, except separated",,not required,"DP02_0032M, DP02_0032MA, DP02_0032EA",0,int,DP02
DP02_0032PE,"Percent!!MARITAL STATUS!!Now married, except separated",,not required,"DP02_0032PM, DP02_0032PMA, DP02_0032PEA",0,float,DP02
DP02_0033E,Estimate!!MARITAL STATUS!!Separated,,not required,"DP02_0033M, DP02_0033MA, DP02_0033EA",0,int,DP02
DP02_0033PE,Percent!!MARITAL STATUS!!Separated,,not required,"DP02_0033PM, DP02_0033PMA, DP02_0033PEA",0,float,DP02
DP02_0034E,Estimate!!MARITAL STATUS!!Widowed,,not required,"DP02_0034M, DP02_0034MA, DP02_0034EA",0,int,DP02
DP02_0034PE,Percent!!MARITAL STATUS!!Widowed,,not required,"DP02_0034PM, DP02_0034PMA, DP02_0034PEA",0,float,DP02
DP02_0035E,Estimate!!MARITAL STATUS!!Divorced,,not required,"DP02_0035M, DP02_0035MA, DP02_0035EA",0,int,DP02
DP02_0035PE,Percent!!MARITAL STATUS!!Divorced,,not required,"DP02_0035PM, DP02_0035PMA, DP02_0035PEA",0,float,DP02
DP02_0036E,Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,,not required,"DP02_0036M, DP02_0036MA, DP02_0036EA",0,int,DP02
DP02_0036PE,Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,,not required,"DP02_0036PM, DP02_0036PMA, DP02_0036PEA",0,int,DP02
DP02_0037E,"Estimate!!FERTILITY!!Unmarried women (widowed, divorced, and never married)",,not required,"DP02_0037M, DP02_0037MA, DP02_0037EA",0,int,DP02
DP02_0037PE,"Percent!!FERTILITY!!Unmarried women (widowed, divorced, and never married)",,not required,"DP02_0037PM, DP02_0037PMA, DP02_0037PEA",0,float,DP02
DP02_0038E,"Estimate!!FERTILITY!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",,not required,"DP02_0038M, DP02_0038MA, DP02_0038EA",0,int,DP02
DP02_0038PE,"Percent!!FERTILITY!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",,not required,"DP02_0038PM, DP02_0038PMA, DP02_0038PEA",0,int,DP02
DP02_0039E,"Estimate!!FERTILITY!!Per 1,000 women 15 to 50 years old",,not required,"DP02_0039M, DP02_0039MA, DP02_0039EA",0,int,DP02
DP02_0039PE,"Percent!!FERTILITY!!Per 1,000 women 15 to 50 years old",,not required,"DP02_0039PM, DP02_0039PMA, DP02_0039PEA",0,int,DP02
DP02_0040E,"Estimate!!FERTILITY!!Per 1,000 women 15 to 50 years old!!Per 1,000 women 15 to 19 years old",,not required,"DP02_0040M, DP02_0040MA, DP02_0040EA",0,int,DP02
DP02_0040PE,"Percent!!FERTILITY!!Per 1,000 women 15 to 50 years old!!Per 1,000 women 15 to 19 years old",,not required,"DP02_0040PM, DP02_0040PMA, DP02_0040PEA",0,int,DP02
DP02_0041E,"Estimate!!FERTILITY!!Per 1,000 women 15 to 50 years old!!Per 1,000 women 20 to 34 years old",,not required,"DP02_0041M, DP02_0041MA, DP02_0041EA",0,int,DP02
DP02_0041PE,"Percent!!FERTILITY!!Per 1,000 women 15 to 50 years old!!Per 1,000 women 20 to 34 years old",,not required,"DP02_0041PM, DP02_0041PMA, DP02_0041PEA",0,int,DP02
DP02_0042E,"Estimate!!FERTILITY!!Per 1,000 women 15 to 50 years old!!Per 1,000 women 35 to 50 years old",,not required,"DP02_0042M, DP02_0042MA, DP02_0042EA",0,int,DP02
DP02_0042PE,"Percent!!FERTILITY!!Per 1,000 women 15 to 50 years old!!Per 1,000 women 35 to 50 years old",,not required,"DP02_0042PM, DP02_0042PMA, DP02_0042PEA",0,int,DP02
DP02_0043E,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,,not required,"DP02_0043M, DP02_0043MA, DP02_0043EA",0,int,DP02
DP02_0043PE,Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,,not required,"DP02_0043PM, DP02_0043PMA, DP02_0043PEA",0,int,DP02
DP02_0044E,Estimate!!GRANDPARENTS!!Responsible for grandchildren,,not required,"DP02_0044M, DP02_0044MA, DP02_0044EA",0,int,DP02
DP02_0044PE,Percent!!GRANDPARENTS!!Responsible for grandchildren,,not required,"DP02_0044PM, DP02_0044PMA, DP02_0044PEA",0,float,DP02
DP02_0045E,Estimate!!GRANDPARENTS!!Responsible for grandchildren!!Years responsible for grandchildren!!Less than 1 year,,not required,"DP02_0045M, DP02_0045MA, DP02_0045EA",0,int,DP02
DP02_0045PE,Percent!!GRANDPARENTS!!Responsible for grandchildren!!Years responsible for grandchildren!!Less than 1 year,,not required,"DP02_0045PM, DP02_0045PMA, DP02_0045PEA",0,float,DP02
DP02_0046E,Estimate!!GRANDPARENTS!!Responsible for grandchildren!!Years responsible for grandchildren!!1 or 2 years,,not required,"DP02_0046M, DP02_0046MA, DP02_0046EA",0,int,DP02
DP02_0046PE,Percent!!GRANDPARENTS!!Responsible for grandchildren!!Years responsible for grandchildren!!1 or 2 years,,not required,"DP02_0046PM, DP02_0046PMA, DP02_0046PEA",0,float,DP02
DP02_0047E,Estimate!!GRANDPARENTS!!Responsible for grandchildren!!Years responsible for grandchildren!!3 or 4 years,,not required,"DP02_0047M, DP02_0047MA, DP02_0047EA",0,int,DP02
DP02_0047PE,Percent!!GRANDPARENTS!!Responsible for grandchildren!!Years responsible for grandchildren!!3 or 4 years,,not required,"DP02_0047PM, DP02_0047PMA, DP02_0047PEA",0,float,DP02
DP02_0048E,Estimate!!GRANDPARENTS!!Responsible for grandchildren!!Years responsible for grandchildren!!5 or more years,,not required,"DP02_0048M, DP02_0048MA, DP02_0048EA",0,int,DP02
DP02_0048PE,Percent!!GRANDPARENTS!!Responsible for grandchildren!!Years responsible for grandchildren!!5 or more years,,not required,"DP02_0048PM, DP02_0048PMA, DP02_0048PEA",0,float,DP02
DP02_0049E,Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years,,not required,"DP02_0049M, DP02_0049MA, DP02_0049EA",0,int,DP02
DP02_0049PE,Percent!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years,,not required,"DP02_0049PM, DP02_0049PMA, DP02_0049PEA",0,int,DP02
DP02_0050E,Estimate!!GRANDPARENTS!!Who are female,,not required,"DP02_0050M, DP02_0050MA, DP02_0050EA",0,int,DP02
DP02_0050PE,Percent!!GRANDPARENTS!!Who are female,,not required,"DP02_0050PM, DP02_0050PMA, DP02_0050PEA",0,float,DP02
DP02_0051E,Estimate!!GRANDPARENTS!!Who are married,,not required,"DP02_0051M, DP02_0051MA, DP02_0051EA",0,int,DP02
DP02_0051PE,Percent!!GRANDPARENTS!!Who are married,,not required,"DP02_0051PM, DP02_0051PMA, DP02_0051PEA",0,float,DP02
DP02_0052E,Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,,not required,"DP02_0052M, DP02_0052MA, DP02_0052EA",0,int,DP02
DP02_0052PE,Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,,not required,"DP02_0052PM, DP02_0052PMA, DP02_0052PEA",0,int,DP02
DP02_0053E,"Estimate!!SCHOOL ENROLLMENT!!Nursery school, preschool",,not required,"DP02_0053M, DP02_0053MA, DP02_0053EA",0,int,DP02
DP02_0053PE,"Percent!!SCHOOL ENROLLMENT!!Nursery school, preschool",,not required,"DP02_0053PM, DP02_0053PMA, DP02_0053PEA",0,float,DP02
DP02_0054E,Estimate!!SCHOOL ENROLLMENT!!Kindergarten,,not required,"DP02_0054M, DP02_0054MA, DP02_0054EA",0,int,DP02
DP02_0054PE,Percent!!SCHOOL ENROLLMENT!!Kindergarten,,not required,"DP02_0054PM, DP02_0054PMA, DP02_0054PEA",0,float,DP02
DP02_0055E,Estimate!!SCHOOL ENROLLMENT!!Elementary school (grades 1-8),,not required,"DP02_0055M, DP02_0055MA, DP02_0055EA",0,int,DP02
DP02_0055PE,Percent!!SCHOOL ENROLLMENT!!Elementary school (grades 1-8),,not required,"DP02_0055PM, DP02_0055PMA, DP02_0055PEA",0,float,DP02
DP02_0056E,Estimate!!SCHOOL ENROLLMENT!!High school (grades 9-12),,not required,"DP02_0056M, DP02_0056MA, DP02_0056EA",0,int,DP02
DP02_0056PE,Percent!!SCHOOL ENROLLMENT!!High school (grades 9-12),,not required,"DP02_0056PM, DP02_0056PMA, DP02_0056PEA",0,float,DP02
DP02_0057E,Estimate!!SCHOOL ENROLLMENT!!College or graduate school,,not required,"DP02_0057M, DP02_0057MA, DP02_0057EA",0,int,DP02
DP02_0057PE,Percent!!SCHOOL ENROLLMENT!!College or graduate school,,not required,"DP02_0057PM, DP02_0057PMA, DP02_0057PEA",0,float,DP02
DP02_0058E,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,,not required,"DP02_0058M, DP02_0058MA, DP02_0058EA",0,int,DP02
DP02_0058PE,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,,not required,"DP02_0058PM, DP02_0058PMA, DP02_0058PEA",0,int,DP02
DP02_0059E,Estimate!!EDUCATIONAL ATTAINMENT!!Less than 9th grade,,not required,"DP02_0059M, DP02_0059MA, DP02_0059EA",0,int,DP02
DP02_0059PE,Percent!!EDUCATIONAL ATTAINMENT!!Less than 9th grade,,not required,"DP02_0059PM, DP02_0059PMA, DP02_0059PEA",0,float,DP02
DP02_0060E,"Estimate!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma",,not required,"DP02_0060M, DP02_0060MA, DP02_0060EA",0,int,DP02
DP02_0060PE,"Percent!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma",,not required,"DP02_0060PM, DP02_0060PMA, DP02_0060PEA",0,float,DP02
DP02_0061E,Estimate!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency),,not required,"DP02_0061M, DP02_0061MA, DP02_0061EA",0,int,DP02
DP02_0061PE,Percent!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency),,not required,"DP02_0061PM, DP02_0061PMA, DP02_0061PEA",0,float,DP02
DP02_0062E,"Estimate!!EDUCATIONAL ATTAINMENT!!Some college, no degree",,not required,"DP02_0062M, DP02_0062MA, DP02_0062EA",0,int,DP02
DP02_0062PE,"Percent!!EDUCATIONAL ATTAINMENT!!Some college, no degree",,not required,"DP02_0062PM, DP02_0062PMA, DP02_0062PEA",0,float,DP02
DP02_0063E,Estimate!!EDUCATIONAL ATTAINMENT!!Associate's degree,,not required,"DP02_0063M, DP02_0063MA, DP02_0063EA",0,int,DP02
DP02_0063PE,Percent!!EDUCATIONAL ATTAINMENT!!Associate's degree,,not required,"DP02_0063PM, DP02_0063PMA, DP02_0063PEA",0,float,DP02
DP02_0064E,Estimate!!EDUCATIONAL ATTAINMENT!!Bachelor's degree,,not required,"DP02_0064M, DP02_0064MA, DP02_0064EA",0,int,DP02
DP02_0064PE,Percent!!EDUCATIONAL ATTAINMENT!!Bachelor's degree,,not required,"DP02_0064PM, DP02_0064PMA, DP02_0064PEA",0,float,DP02
DP02_0065E,Estimate!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree,,not required,"DP02_0065M, DP02_0065MA, DP02_0065EA",0,int,DP02
DP02_0065PE,Percent!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree,,not required,"DP02_0065PM, DP02_0065PMA, DP02_0065PEA",0,float,DP02
DP02_0066E,Estimate!!EDUCATIONAL ATTAINMENT!!Percent high school graduate or higher,,not required,"DP02_0066M, DP02_0066MA, DP02_0066EA",0,int,DP02
DP02_0066PE,Percent!!EDUCATIONAL ATTAINMENT!!Percent high school graduate or higher,,not required,"DP02_0066PM, DP02_0066PMA, DP02_0066PEA",0,float,DP02
DP02_0067E,Estimate!!EDUCATIONAL ATTAINMENT!!Percent bachelor's degree or higher,,not required,"DP02_0067M, DP02_0067MA, DP02_0067EA",0,int,DP02
DP02_0067PE,Percent!!EDUCATIONAL ATTAINMENT!!Percent bachelor's degree or higher,,not required,"DP02_0067PM, DP02_0067PMA, DP02_0067PEA",0,float,DP02
DP02_0068E,Estimate!!VETERAN STATUS!!Civilian population 18 years and over,,not required,"DP02_0068M, DP02_0068MA, DP02_0068EA",0,int,DP02
DP02_0068PE,Percent!!VETERAN STATUS!!Civilian population 18 years and over,,not required,"DP02_0068PM, DP02_0068PMA, DP02_0068PEA",0,int,DP02
DP02_0069E,Estimate!!VETERAN STATUS!!Civilian veterans,,not required,"DP02_0069M, DP02_0069MA, DP02_0069EA",0,int,DP02
DP02_0069PE,Percent!!VETERAN STATUS!!Civilian veterans,,not required,"DP02_0069PM, DP02_0069PMA, DP02_0069PEA",0,float,DP02
DP02_0070E,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population,,not required,"DP02_0070M, DP02_0070MA, DP02_0070EA",0,int,DP02
DP02_0070PE,Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population,,not required,"DP02_0070PM, DP02_0070PMA, DP02_0070PEA",0,int,DP02
DP02_0071E,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!With a disability,,not required,"DP02_0071M, DP02_0071MA, DP02_0071EA",0,int,DP02
DP02_0071PE,Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!With a disability,,not required,"DP02_0071PM, DP02_0071PMA, DP02_0071PEA",0,float,DP02
DP02_0072E,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years,,not required,"DP02_0072M, DP02_0072MA, DP02_0072EA",0,int,DP02
DP02_0072PE,Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years,,not required,"DP02_0072PM, DP02_0072PMA, DP02_0072PEA",0,int,DP02
DP02_0073E,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!With a disability,,not required,"DP02_0073M, DP02_0073MA, DP02_0073EA",0,int,DP02
DP02_0073PE,Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!With a disability,,not required,"DP02_0073PM, DP02_0073PMA, DP02_0073PEA",0,float,DP02
DP02_0074E,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years,,not required,"DP02_0074M, DP02_0074MA, DP02_0074EA",0,int,DP02
DP02_0074PE,Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years,,not required,"DP02_0074PM, DP02_0074PMA, DP02_0074PEA",0,int,DP02
DP02_0075E,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!With a disability,,not required,"DP02_0075M, DP02_0075MA, DP02_0075EA",0,int,DP02
DP02_0075PE,Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!With a disability,,not required,"DP02_0075PM, DP02_0075PMA, DP02_0075PEA",0,float,DP02
DP02_0076E,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over,,not required,"DP02_0076M, DP02_0076MA, DP02_0076EA",0,int,DP02
DP02_0076PE,Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over,,not required,"DP02_0076PM, DP02_0076PMA, DP02_0076PEA",0,int,DP02
DP02_0077E,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!With a disability,,not required,"DP02_0077M, DP02_0077MA, DP02_0077EA",0,int,DP02
DP02_0077PE,Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!With a disability,,not required,"DP02_0077PM, DP02_0077PMA, DP02_0077PEA",0,float,DP02
DP02_0078E,Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over,,not required,"DP02_0078M, DP02_0078MA, DP02_0078EA",0,int,DP02
DP02_0078PE,Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over,,not required,"DP02_0078PM, DP02_0078PMA, DP02_0078PEA",0,int,DP02
DP02_0079E,Estimate!!RESIDENCE 1 YEAR AGO!!Same house,,not required,"DP02_0079M, DP02_0079MA, DP02_0079EA",0,int,DP02
DP02_0079PE,Percent!!RESIDENCE 1 YEAR AGO!!Same house,,not required,"DP02_0079PM, DP02_0079PMA, DP02_0079PEA",0,float,DP02
DP02_0080E,Estimate!!RESIDENCE 1 YEAR AGO!!Different house in the U.S.,,not required,"DP02_0080M, DP02_0080MA, DP02_0080EA",0,int,DP02
